	Aさん	Bさん	Cさん	Dさん	Eさん	Fさん	Gさん	Hさん	Iさん	Jさん	Kさん	Lさん	Mさん
1	1	0	1	0	0	0	0	1	0	1	1	1	1
2	1	0	1	0	1	0	0	1	0	1	0	1	1
4	1	1	0	0	1	0	0	1	0	1	0	0	0
5	1	0	0	1	1	0	0	0	0	1	0	1	1
6	1	1	0	1	1	0	0	0	0	1	1	1	1
7	1	0	0	1	1	0	0	0	1	0	1	1	1
8	1	0	1	1	0	0	0	1	1	1	1	0	0
9	1	0	1	1	1	0	0	1	1	0	1	1	0
10	0	1	0	1	1	0	1	1	1	0	0	1	1
11	0	1	0	1	1	1	1	1	1	1	0	0	1
12	0	1	0	1	1	1	1	1	1	1	0	1	1
13	0	1	0	1	0	1	1	1	1	1	0	0	0
14	1	1	0	1	0	1	1	0	1	1	0	0	0
15	1	1	0	1	0	0	1	1	1	1	0	0	0
16	1	1	0	1	1	1	1	0	1	1	0	0	0
17	1	1	0	1	0	1	1	0	1	1	1	1	0
18	1	1	0	1	1	1	1	0	1	1	1	1	0
19	1	1	0	1	1	1	1	0	1	1	1	1	0
20	1	1	0	1	1	1	1	0	0	1	1	1	0
21	1	1	0	1	1	1	1	0	1	1	1	0	0
22	1	1	0	1	0	0	0	0	1	1	1	0	0
23	1	1	0	1	1	0	0	0	1	1	1	1	0
