	Aさん	Bさん	Cさん	D	E	F	G	H	I	J	K	L	M
1	1	2	1	2	2	2	2	1	2	0	1	0	1
2	0	2	1	2	1	2	2	0	2	0	2	1	1
4	1	1	2	2	0	2	2	1	2	1	2	2	2
5	0	2	2	1	1	2	2	2	2	0	2	1	1
6	1	1	2	0	0	2	2	2	2	1	1	0	0
7	0	2	2	1	1	2	2	2	0	2	0	1	1
8	1	2	1	0	2	2	2	1	1	0	1	2	2
9	0	2	1	1	1	2	2	1	0	2	1	0	2
10	2	1	2	0	0	2	1	0	1	2	2	1	1
11	2	0	2	1	0	1	1	1	0	1	2	2	0
12	2	1	2	0	1	0	0	0	1	0	2	1	1
13	2	0	2	1	2	1	1	1	0	1	2	2	2
14	1	1	2	1	2	1	0	2	1	0	2	2	2
15	1	0	2	0	2	2	1	1	1	1	2	2	2
16	0	1	2	1	1	1	1	2	0	0	2	2	2
17	1	0	2	0	2	0	0	2	1	0	1	1	2
18	0	1	2	0	0	1	1	2	0	1	0	0	2
19	1	0	2	0	0	0	0	2	1	0	1	1	2
20	0	1	2	0	0	1	1	2	2	1	0	0	2
21	0	0	2	1	1	1	1	2	0	0	0	2	2
22	1	1	2	0	2	2	2	2	1	1	1	2	2
23	0	0	2	1	1	2	2	2	0	0	1	1	2
